file,baseline,finetuned
일반행정/5350224/2001/5350224-2001-0001-0229.json,0.5541,0.6155
주민복지/5350030/1996/5350030-1996-0001-0020.json,0.2579,0.459
주민복지/5350129/1999/5350129-1999-0001-0282.json,0.1207,0.8829
주민복지/5350129/1999/5350129-1999-0001-0283.json,0.2547,0.794
주민복지/5350129/1999/5350129-1999-0001-0304.json,0.3367,0.6248
주민복지/5350129/1999/5350129-1999-0001-0314.json,0.2839,0.6485
주민복지/5350129/1999/5350129-1999-0001-0345.json,0.4185,0.3175
주민복지/5350129/1999/5350129-1999-0001-0363.json,0.3844,0.3692
주민복지/5350129/1999/5350129-1999-0001-0412.json,0.2995,0.795
주민복지/5350129/1999/5350129-1999-0001-0435.json,0.0945,0.9259
주민복지/5350129/1999/5350129-1999-0001-0477.json,0.2704,0.7863
주민복지/5350229/1995/5350229-1995-0001-0115.json,0.3642,0.7314
주민복지/5350229/1995/5350229-1995-0001-0129.json,0.429,0.8652
주민복지/5350264/2002/5350264-2002-0001-0036.json,0.2852,0.7203
주민생활지원/5350271/1999/5350271-1999-0001-0063.json,0.3156,0.7484
주민생활지원/5350271/1999/5350271-1999-0001-0072.json,0.3425,0.5722
주민생활지원/5350271/1999/5350271-1999-0001-0087.json,0.2355,0.6198
주민생활지원/5350271/1999/5350271-1999-0001-0115.json,0.2004,0.5225
주민생활지원/5350272/2002/5350272-2002-0001-0083.json,0.5632,0.7739
주민생활지원/5350272/2002/5350272-2002-0001-0084.json,0.3487,0.6475
주민자치/5350047/1994/5350047-1994-0001-0736.json,0.143,0.6717
주민자치/5350047/1994/5350047-1994-0001-0742.json,0.4801,0.7164
주민자치/5350047/1994/5350047-1994-0001-0745.json,0.0835,0.5499
주민자치/5350047/1995/5350047-1995-0001-0400.json,0.3638,0.747
주민자치/5350047/1995/5350047-1995-0001-0414.json,0.4092,0.6908
주민자치/5350047/1996/5350047-1996-0001-0393.json,0.3813,0.6832
주민자치/5350047/1997/5350047-1997-0001-0526.json,0.3563,0.7882
주민자치/5350047/1998/5350047-1998-0001-0330.json,0.4082,0.6731
주민자치/5350047/1998/5350047-1998-0001-0334.json,0.3984,0.6525
주민자치/5350047/1998/5350047-1998-0001-0344.json,0.3147,0.5944
주민자치/5350047/2000/5350047-2000-0001-0309.json,0.4303,0.5813
주민자치/5350047/2001/5350047-2001-0001-0415.json,0.5591,0.7332
주민자치/5350047/2001/5350047-2001-0001-0419.json,0.507,0.7378
주민자치/5350047/2001/5350047-2001-0001-0427.json,0.3122,0.6612
주민자치/5350047/2001/5350047-2001-0001-0443.json,0.5647,0.6639
주민자치/5350047/2002/5350047-2002-0001-0509.json,0.4173,0.8025
주민자치/5350047/2002/5350047-2002-0001-0519.json,0.3014,0.6575
주민자치/5350047/2002/5350047-2002-0001-0524.json,0.2736,0.5498
주민자치/5350047/2002/5350047-2002-0001-0536.json,0.4872,0.7538
주민자치/5350047/2003/5350047-2003-0001-0104.json,0.4439,0.782
주민자치/5350047/2003/5350047-2003-0001-0105.json,0.5891,0.7815
주민자치/5350047/2003/5350047-2003-0001-0108.json,0.574,0.6873
주민자치/5350047/2011/5350047-2011-0001-0024.json,0.1813,0.569
주민자치/5350048/1996/5350048-1996-0001-0267.json,0.358,0.7964
주민자치/5350048/1996/5350048-1996-0001-0291.json,0.4664,0.6845
주민자치/5350048/1996/5350048-1996-0001-0305.json,0.4577,0.6687
주민자치/5350048/1996/5350048-1996-0001-0334.json,0.463,0.7069
주민자치/5350048/1996/5350048-1996-0001-0343.json,0.4378,0.7054
주민자치/5350048/1996/5350048-1996-0001-0350.json,0.3793,0.7604
주민자치/5350048/1996/5350048-1996-0001-0398.json,0.4765,0.7129
주민자치/5350048/1996/5350048-1996-0001-0416.json,0.55,0.7163
주민자치/5350050/2001/5350050-2001-0001-0130.json,0.3991,0.7886
주민자치/5350050/2001/5350050-2001-0001-0140.json,0.3723,0.7549
주민자치/5350051/2002/5350051-2002-0001-0106.json,0.3308,0.7841
주민자치/5350052/1995/5350052-1995-0001-0211.json,0.2434,0.7452
주민자치/5350052/1995/5350052-1995-0001-0247.json,0.2371,0.6677
주민자치/5350052/1995/5350052-1995-0001-0258.json,0.1586,0.6544
주민자치/5350052/1995/5350052-1995-0001-0301.json,0.2446,0.7244
주민자치/5350052/1995/5350052-1995-0001-0302.json,0.0813,0.7867
주민자치/5350052/1995/5350052-1995-0001-0321.json,0.1909,0.7176
주민자치/5350052/1995/5350052-1995-0001-0344.json,0.0916,0.7844
주민자치/5350052/1995/5350052-1995-0001-0424.json,0.2055,0.5053
주민자치/5350052/1995/5350052-1995-0001-0426.json,0.2702,0.7318
주민자치/5350052/1995/5350052-1995-0001-0462.json,0.2587,0.7437
주민자치/5350052/1995/5350052-1995-0001-0486.json,0.5389,0.7633
주민자치/5350053/1995/5350053-1995-0001-0276.json,0.4045,0.8146
주민자치/5350053/1995/5350053-1995-0001-0296.json,0.1549,0.6695
주민자치/5350053/1995/5350053-1995-0001-0297.json,0.3657,0.7916
주민자치/5350053/1995/5350053-1995-0001-0341.json,0.2766,0.6779
